AC_Code|Candidate|Constituency|EVM Votes|OSN|Party|Percent of Votes|Postal Votes|State|State_Code|Total of Votes
1|KISHORE CHANDRA DEO|Aruku |336163|1|Telugu Desam|31.46|1938|Andhra Pradesh|S01|338101
1|Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY|Aruku |17578|2|Bharatiya Janata Party|1.66|289|Andhra Pradesh|S01|17867
1|GODDETI. MADHAVI|Aruku |557561|3|Yuvajana Sramika Rythu Congress Party|52.32|4629|Andhra Pradesh|S01|562190
1|SHRUTI DEVI VYRICHERLA|Aruku |17656|4|Indian National Congress|1.65|74|Andhra Pradesh|S01|17730
1|GANGULAIAH VAMPURU.|Aruku |42245|5|Janasena Party|3.98|549|Andhra Pradesh|S01|42794
1|SWAMULA. SUBRAHMANYAM|Aruku |4705|6|Jana Jagruti Party|0.44|5|Andhra Pradesh|S01|4710
1|ANUMULA VAMSIKRISHNA|Aruku |10211|7|Independent|0.95|29|Andhra Pradesh|S01|10240
1|KANGALA BALUDORA|Aruku |13810|8|Independent|1.29|16|Andhra Pradesh|S01|13826
1|NARAVA SATYAVATHI|Aruku |11231|9|Independent|1.05|5|Andhra Pradesh|S01|11236
1|BIDDIKA RAMAYYA.|Aruku |7863|10|Independent|0.73|4|Andhra Pradesh|S01|7867
1|NOTA|Aruku |47955|11|None of the Above|4.46|22|Andhra Pradesh|S01|47977
10|KOTAGIRI SRIDHAR|Eluru |672834|1|Yuvajana Sramika Rythu Congress Party|50.97|3975|Andhra Pradesh|S01|676809
10|CHINNAM RAMA KOTAYYA|Eluru |8317|2|Bharatiya Janata Party|0.63|95|Andhra Pradesh|S01|8412
10|JETTI GURUNADHA RAO|Eluru |20284|3|Indian National Congress|1.53|94|Andhra Pradesh|S01|20378
10|MAGANTTI VENKATESWARA RAO BABU|Eluru |509549|4|Telugu Desam|38.47|1335|Andhra Pradesh|S01|510884
10|CHINA VENKATA SURYANARAYANA JOSYULA|Eluru |2932|5|Pyramid Party of India|0.22|3|Andhra Pradesh|S01|2935
10|PENTAPATI PULLARAO|Eluru |76481|6|Janasena Party|5.79|346|Andhra Pradesh|S01|76827
10|MATHE. BOBBY|Eluru |1871|7|Republican Party of India (A)|0.14|8|Andhra Pradesh|S01|1879
10|V. SIVA RAMA KRISHNA|Eluru |1261|8|Jana Jagruti Party|0.09|0|Andhra Pradesh|S01|1261
10|ALAGA. RAVI KUMAR|Eluru |1648|9|Independent|0.12|0|Andhra Pradesh|S01|1648
10|Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU)|Eluru |3010|10|Independent|0.23|0|Andhra Pradesh|S01|3010
10|NOTA|Eluru |23861|11|None of the Above|1.8|19|Andhra Pradesh|S01|23880
11|KONAKALLA NARAYANA RAO|Machilipatnam |508570|1|Telugu Desam|41.18|2725|Andhra Pradesh|S01|511295
11|GUDIVAKA RAMANJANEYULU|Machilipatnam |6355|2|Bharatiya Janata Party|0.52|107|Andhra Pradesh|S01|6462
11|GOLLU KRISHNA|Machilipatnam |12207|3|Indian National Congress|0.99|77|Andhra Pradesh|S01|12284
11|BALASHOWRY VALLABHANENI|Machilipatnam |566178|4|Yuvajana Sramika Rythu Congress Party|46.02|5258|Andhra Pradesh|S01|571436
11|PERAM SIVA NAGESWARA RAO|Machilipatnam |3620|5|Republican Party of India (A)|0.29|2|Andhra Pradesh|S01|3622
11|BANDREDDI RAMAKRISHNA|Machilipatnam |112416|6|Janasena Party|9.12|876|Andhra Pradesh|S01|113292
11|YARLAGADDA RAMA MOHANA RAO|Machilipatnam |1016|7|Bahujan Maha Party|0.08|1|Andhra Pradesh|S01|1017
11|VALLURU VENKATESWARA RAO|Machilipatnam |824|8|Pyramid Party of India|0.07|2|Andhra Pradesh|S01|826
11|GANDHI DHANEKULA|Machilipatnam |846|9|Independent|0.07|0|Andhra Pradesh|S01|846
11|NADAKUDITI NAGA GAYATHRI|Machilipatnam |771|10|Independent|0.06|2|Andhra Pradesh|S01|773
11|GUDIVAKA VENKATA NAGA BASAVA RAO|Machilipatnam |895|11|Independent|0.07|1|Andhra Pradesh|S01|896
11|VIJAYA LAKSHMI CHALAPAKA|Machilipatnam |4766|12|Independent|0.38|13|Andhra Pradesh|S01|4779
11|NOTA|Machilipatnam |14043|13|None of the Above|1.13|34|Andhra Pradesh|S01|14077
12|KILARU DILEEP|Vijayawada|18411|1|Bharatiya Janata Party|1.45|93|Andhra Pradesh|S01|18504
12|KESINENI SRINIVAS (NANI)|Vijayawada|573929|2|Telugu Desam|45.04|1569|Andhra Pradesh|S01|575498
12|NARAHARISETTY. NARASIMHARAO.|Vijayawada|16204|3|Indian National Congress|1.27|57|Andhra Pradesh|S01|16261
12|POTLURI.V.PRASAD ( P V P )|Vijayawada|564174|4|Yuvajana Sramika Rythu Congress Party|44.36|2598|Andhra Pradesh|S01|566772
12|ANDUKURI VIJAYA BHASKAR|Vijayawada|2457|5|India Praja Bandhu Party|0.19|0|Andhra Pradesh|S01|2457
12|DATLA LURDU MARY|Vijayawada|433|6|Mundadugu Praja Party|0.03|1|Andhra Pradesh|S01|434
12|PADALA SIVA PRASAD|Vijayawada|480|7|Navarang Congress Party|0.04|0|Andhra Pradesh|S01|480
12|Muttamsetty Prasad babu|Vijayawada|81416|8|Janasena Party|6.39|234|Andhra Pradesh|S01|81650
12|SEKHAR|Vijayawada|683|9|Pyramid Party of India|0.05|2|Andhra Pradesh|S01|685
12|Sk. Riyaz|Vijayawada|412|10|Indian Union Muslim League|0.03|0|Andhra Pradesh|S01|412
12|ANIL KUMAR MADDINENI|Vijayawada|1049|11|Independent|0.08|0|Andhra Pradesh|S01|1049
12|DHANEKULA GANDHI|Vijayawada|687|12|Independent|0.05|1|Andhra Pradesh|S01|688
12|NANDINI NALLAGHATLA|Vijayawada|951|13|Independent|0.07|2|Andhra Pradesh|S01|953
12|BOLISETTY HARI BABU|Vijayawada|1739|14|Independent|0.14|0|Andhra Pradesh|S01|1739
12|MOHAMMAD ISHAQ|Vijayawada|1218|15|Independent|0.1|0|Andhra Pradesh|S01|1218
12|NOTA|Vijayawada|8889|16|None of the Above|0.7|22|Andhra Pradesh|S01|8911
13|Jayadev Galla|Guntur|586292|1|Telugu Desam|43.5|1626|Andhra Pradesh|S01|587918
13|Jayaprakash Narayana Valluru|Guntur|11667|2|Bharatiya Janata Party|0.88|174|Andhra Pradesh|S01|11841
13|Modugula Venugopala Reddy|Guntur|580840|3|Yuvajana Sramika Rythu Congress Party|43.19|2873|Andhra Pradesh|S01|583713
13|Shaik Mastanvali|Guntur|14124|4|Indian National Congress|1.05|81|Andhra Pradesh|S01|14205
13|Araveti Hazarath Rao|Guntur|808|5|Pyramid Party of India|0.06|2|Andhra Pradesh|S01|810
13|Ullagi David Jayakumar|Guntur|447|6|Hardam Manavtawadi Rashtriya Dal|0.03|0|Andhra Pradesh|S01|447
13|Jeldi Raja Mohan|Guntur|437|7|All India Praja Party|0.03|0|Andhra Pradesh|S01|437
13|Nagaraju Ekula|Guntur|920|8|Republican Party of India (A)|0.07|0|Andhra Pradesh|S01|920
13|Bonaboyina Srinivasa Rao|Guntur|128746|9|Janasena Party|9.56|459|Andhra Pradesh|S01|129205
13|Mannava Hariprasad|Guntur|3212|10|Communist Party of India (Marxist-Leninist) Red Star|0.24|4|Andhra Pradesh|S01|3216
13|Ramarao Simhadri|Guntur|1744|11|Praja Shanthi Party|0.13|2|Andhra Pradesh|S01|1746
13|Jacob Vidyasagar Nakka|Guntur|639|12|Viduthalai Chiruthaigal Katchi|0.05|2|Andhra Pradesh|S01|641
13|Sarabandi Raju Sikhinam|Guntur|1015|13|Indian Labour Party (Ambedkar Phule)|0.08|2|Andhra Pradesh|S01|1017
13|Shaik Jaleel|Guntur|560|14|Navarang Congress Party|0.04|3|Andhra Pradesh|S01|563
13|Samudrala Chinna Kotaiah|Guntur|628|15|National Dalitha Dhal Party|0.05|0|Andhra Pradesh|S01|628
13|Umar Basha Shaik|Guntur|2676|16|Independent|0.2|0|Andhra Pradesh|S01|2676
13|Dasari Kiran Babu|Guntur|2907|17|Independent|0.22|2|Andhra Pradesh|S01|2909
13|Doppalapudi Veera Das|Guntur|629|18|Independent|0.05|0|Andhra Pradesh|S01|629
13|Yanamadala Venkata Suresh|Guntur|1947|19|Independent|0.14|0|Andhra Pradesh|S01|1947
13|NOTA|Guntur|5972|20|None of the Above|0.44|34|Andhra Pradesh|S01|6006
14|KANNA LAKSHMI NARAYANA|Narasaraopet|15237|1|Bharatiya Janata Party|1.08|231|Andhra Pradesh|S01|15468
14|PAKKALA SURIBABU|Narasaraopet|10976|2|Indian National Congress|0.77|56|Andhra Pradesh|S01|11032
14|RAYAPATI SAMBASIVARAO|Narasaraopet|588900|3|Telugu Desam|41.12|2211|Andhra Pradesh|S01|591111
14|LAVU SRI KRISHNA DEVARAYALU|Narasaraopet|740041|4|Yuvajana Sramika Rythu Congress Party|51.83|5048|Andhra Pradesh|S01|745089
14|ALLU VENKATAREDDY|Narasaraopet|2892|5|Pyramid Party of India|0.2|4|Andhra Pradesh|S01|2896
14|KANAKAM SRINIVASARAO|Narasaraopet|1065|6|National Nava Kranthi Party|0.07|4|Andhra Pradesh|S01|1069
14|NAYUB KAMAL SHAIK|Narasaraopet|50518|7|Janasena Party|3.53|295|Andhra Pradesh|S01|50813
14|SURABHI DEVASAHAYAM|Narasaraopet|423|8|Indian Union Muslim League|0.03|0|Andhra Pradesh|S01|423
14|KANTE SAYANNA|Narasaraopet|365|9|Independent|0.03|1|Andhra Pradesh|S01|366
14|GADDALA VENU|Narasaraopet|623|10|Independent|0.04|3|Andhra Pradesh|S01|626
14|DURGAMPUDI RAMIREDDY|Narasaraopet|2683|11|Independent|0.19|1|Andhra Pradesh|S01|2684
14|PARIMI NARASIMHA RAO|Narasaraopet|999|12|Independent|0.07|2|Andhra Pradesh|S01|1001
14|REDDYBOINA PRASANNA KUMAR|Narasaraopet|1394|13|Independent|0.1|1|Andhra Pradesh|S01|1395
14|NOTA|Narasaraopet|13664|14|None of the Above|0.95|38|Andhra Pradesh|S01|13702
15|CHALLAGALI KISHORE KUMAR|Bapatla |9842|1|Bharatiya Janata Party|0.82|509|Andhra Pradesh|S01|10351
15|K. DEVANAND|Bapatla |42262|2|Bahujan Samaj Party|3.36|318|Andhra Pradesh|S01|42580
15|NANDIGAM SURESH|Bapatla |592250|3|Yuvajana Sramika Rythu Congress Party|47.24|6007|Andhra Pradesh|S01|598257
15|MALYADRI SRIRAM|Bapatla |577403|4|Telugu Desam|45.97|4789|Andhra Pradesh|S01|582192
15|J.D. SEELAM|Bapatla |12941|5|Indian National Congress|1.04|214|Andhra Pradesh|S01|13155
15|KUMAR KATTEPOGU|Bapatla |877|6|Pyramid Party of India|0.07|8|Andhra Pradesh|S01|885
15|GADDE HARI BABU|Bapatla |521|7|Navodayam Party|0.04|9|Andhra Pradesh|S01|530
15|CHINA NAGESWARA RAO SADHU|Bapatla |463|8|Mundadugu Praja Party|0.04|3|Andhra Pradesh|S01|466
15|THUMATI RAVI|Bapatla |368|9|All Peoples Party|0.03|2|Andhra Pradesh|S01|370
15|NUTHAKKI RAMA RAO|Bapatla |600|10|All India Praja Party|0.05|6|Andhra Pradesh|S01|606
15|GELLA NAGAMALLI|Bapatla |651|11|Independent|0.05|4|Andhra Pradesh|S01|655
15|GOLLA BABURAO|Bapatla |1271|12|Independent|0.1|5|Andhra Pradesh|S01|1276
15|BUSSA NAGARAJU|Bapatla |1943|13|Independent|0.15|8|Andhra Pradesh|S01|1951
15|NOTA|Bapatla |13178|14|None of the Above|1.04|40|Andhra Pradesh|S01|13218
16|THOGANTI SREENIVASULU|Ongole |7587|1|Bharatiya Janata Party|0.61|642|Andhra Pradesh|S01|8229
16|MAGUNTA SREENIVASULU REDDY|Ongole |729344|2|Yuvajana Sramika Rythu Congress Party|55.07|9858|Andhra Pradesh|S01|739202
16|SIDDA RAGHAVA RAO|Ongole |516287|3|Telugu Desam|39.06|8064|Andhra Pradesh|S01|524351
16|DR SIRIVELLA PRASAD|Ongole |8001|4|Indian National Congress|0.61|138|Andhra Pradesh|S01|8139
16|KONDA PRAVEEN KUMAR|Ongole |805|5|Navodayam Party|0.06|6|Andhra Pradesh|S01|811
16|BELLAMKONDA SAIBABU|Ongole |29054|6|Janasena Party|2.19|325|Andhra Pradesh|S01|29379
16|MARAM SRINIVASA REDDY|Ongole |3253|7|Praja Shanthi Party|0.24|5|Andhra Pradesh|S01|3258
16|VENKATESAN BABURAO|Ongole |1068|8|India Praja Bandhu Party|0.08|5|Andhra Pradesh|S01|1073
16|KAVURI VENU BABU NAIDU|Ongole |564|9|Independent|0.04|1|Andhra Pradesh|S01|565
16|BILLA CHENNAIAH|Ongole |671|10|Independent|0.05|2|Andhra Pradesh|S01|673
16|MADHU YATTAPU|Ongole |1160|11|Independent|0.09|0|Andhra Pradesh|S01|1160
16|MOHAN AYYAPPA|Ongole |1451|12|Independent|0.11|0|Andhra Pradesh|S01|1451
16|VENKATESH VEPURI|Ongole |3208|13|Independent|0.24|4|Andhra Pradesh|S01|3212
16|NOTA|Ongole |20843|14|None of the Above|1.55|22|Andhra Pradesh|S01|20865
17|ADINARAYANA INTY|Nandyal|8794|1|Bharatiya Janata Party|0.7|272|Andhra Pradesh|S01|9066
17|JANGITE LAKSHMI NARASIMHA YADAV|Nandyal|14313|2|Indian National Congress|1.11|107|Andhra Pradesh|S01|14420
17|POCHA . BRAHMANANDA REDDY|Nandyal|715024|3|Yuvajana Sramika Rythu Congress Party|55.49|5864|Andhra Pradesh|S01|720888
17|MANDRA SIVANANDA REDDY|Nandyal|466869|4|Telugu Desam|36.24|3900|Andhra Pradesh|S01|470769
17|D. P. JAMAL BASHA.|Nandyal|3981|5|Anna YSR Congress Party|0.31|108|Andhra Pradesh|S01|4089
17|PULA. NAGAMADDILETY|Nandyal|931|6|Ambedkar National Congress|0.07|6|Andhra Pradesh|S01|937
17|D. MAHAMMAD RAFI .|Nandyal|645|7|B. C. United Front|0.05|4|Andhra Pradesh|S01|649
17|RUDDIREDDY RADHAKRISHNA|Nandyal|667|8|All India Forward Bloc|0.05|6|Andhra Pradesh|S01|673
17|S.P.Y. REDDY|Nandyal|38568|9|Janasena Party|2.99|303|Andhra Pradesh|S01|38871
17|S. A. INDUMATHI|Nandyal|842|10|Independent|0.07|5|Andhra Pradesh|S01|847
17|ELLURI. BHUPAL.|Nandyal|667|11|Independent|0.05|1|Andhra Pradesh|S01|668
17|K.P. KAMBAGIRISWAMY.|Nandyal|765|12|Independent|0.06|2|Andhra Pradesh|S01|767
17|JESTADI SUDHAKAR|Nandyal|4542|13|Independent|0.35|0|Andhra Pradesh|S01|4542
17|I.V. PAKKIR REDDY|Nandyal|3103|14|Independent|0.24|0|Andhra Pradesh|S01|3103
17|POLURU GURUVAIAH.|Nandyal|6099|15|Independent|0.47|0|Andhra Pradesh|S01|6099
17|BHUMA KISHOR REDDY|Nandyal|4848|16|Independent|0.37|4|Andhra Pradesh|S01|4852
17|B.C. RAMANATHA REDDY|Nandyal|2543|17|Independent|0.2|0|Andhra Pradesh|S01|2543
17|Dr. LAKSHMI KANTHA REDDY CHITLA|Nandyal|1428|18|Independent|0.11|1|Andhra Pradesh|S01|1429
17|VANGALA PARAMESWARA REDDY.|Nandyal|2380|19|Independent|0.18|2|Andhra Pradesh|S01|2382
17|C. SURENDRA NATH REDDY|Nandyal|1708|20|Independent|0.13|0|Andhra Pradesh|S01|1708
17|NOTA|Nandyal|9759|21|None of the Above|0.75|32|Andhra Pradesh|S01|9791
18|AHMED ALI KHAN|Kurnool|36169|1|Indian National Congress|3.07|89|Andhra Pradesh|S01|36258
18|KOTLA JAYA SURYA PRAKASH REDDY|Kurnool|450341|2|Telugu Desam|38.38|3324|Andhra Pradesh|S01|453665
18|Dr. PARTHASARATHI VALMIKI|Kurnool|24089|3|Bharatiya Janata Party|2.06|241|Andhra Pradesh|S01|24330
18|K. PRABHAKARA REDDY|Kurnool|18818|4|Communist Party of India  (Marxist)|1.6|101|Andhra Pradesh|S01|18919
18|AYUSHMAN DOCTOR SANJEEV KUMAR|Kurnool|600190|5|Yuvajana Sramika Rythu Congress Party|50.98|2364|Andhra Pradesh|S01|602554
18|ABDUL WARIS|Kurnool|7261|6|SOCIAL DEMOCRATIC PARTY OF INDIA|0.61|4|Andhra Pradesh|S01|7265
18|KASULA RAJASEKHAR|Kurnool|1223|7|Pyramid Party of India|0.1|3|Andhra Pradesh|S01|1226
18|DANDU SESHU YADAV|Kurnool|3264|8|Samajwadi Party|0.28|2|Andhra Pradesh|S01|3266
18|M. NAGANNA|Kurnool|1283|9|SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)|0.11|2|Andhra Pradesh|S01|1285
18|S.MD. SHAFATH|Kurnool|1220|10|Rayalaseema Rashtra Samithi|0.1|1|Andhra Pradesh|S01|1221
18|G Sanjeeva Kumar|Kurnool|2095|11|Samajwadi Forward Bloc|0.18|2|Andhra Pradesh|S01|2097
18|HATCHOLI THOMAS|Kurnool|1489|12|Independent|0.13|7|Andhra Pradesh|S01|1496
18|DEVARAPOGU MADDILETY|Kurnool|1696|13|Independent|0.14|1|Andhra Pradesh|S01|1697
18|BALIJA. SHIVA KUMAR|Kurnool|2741|14|Independent|0.23|0|Andhra Pradesh|S01|2741
18|T. BEECHUPALLY|Kurnool|9771|15|Independent|0.83|0|Andhra Pradesh|S01|9771
18|P.V. SRIHARI|Kurnool|6548|16|Independent|0.55|3|Andhra Pradesh|S01|6551
18|NOTA|Kurnool|7643|17|None of the Above|0.65|26|Andhra Pradesh|S01|7669
19|D.JAGADEESH|Anantapur|20192|1|Communist Party of India|1.51|102|Andhra Pradesh|S01|20294
19|TALARI RANGAIAH|Anantapur|690901|2|Yuvajana Sramika Rythu Congress Party|51.79|4307|Andhra Pradesh|S01|695208
19|J.C. PAVAN REDDY|Anantapur|550597|3|Telugu Desam|41.26|3183|Andhra Pradesh|S01|553780
19|K.RAJIV REDDY|Anantapur|29994|4|Indian National Congress|2.24|85|Andhra Pradesh|S01|30079
19|HAMSA DEVINENI|Anantapur|7440|5|Bharatiya Janata Party|0.57|164|Andhra Pradesh|S01|7604
19|GADIDAMA RANGANAYAKULU|Anantapur|728|6|Vishwa Jana Party|0.05|0|Andhra Pradesh|S01|728
19|P.RADHA KRISHNA|Anantapur|1219|7|Radical Democrats|0.09|1|Andhra Pradesh|S01|1220
19|G. LALITHA|Anantapur|890|8|SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)|0.07|9|Andhra Pradesh|S01|899
19|M.VENKATESULU|Anantapur|1043|9|Pyramid Party of India|0.08|5|Andhra Pradesh|S01|1048
19|S.V.P. YADAV|Anantapur|4398|10|Independent|0.33|0|Andhra Pradesh|S01|4398
19|P. RANGAIAH|Anantapur|3580|11|Independent|0.27|8|Andhra Pradesh|S01|3588
19|L. RANGAIAH|Anantapur|1688|12|Independent|0.13|3|Andhra Pradesh|S01|1691
19|VADDE KASINATH|Anantapur|2063|13|Independent|0.15|3|Andhra Pradesh|S01|2066
19|SOMANATH DESHMUKH|Anantapur|3236|14|Independent|0.24|1|Andhra Pradesh|S01|3237
19|NOTA|Anantapur|16406|15|None of the Above|1.23|60|Andhra Pradesh|S01|16466
2|KINJARAPU RAM MOHAN NAIDU|Srikakulam|529213|1|Telugu Desam|46.19|5331|Andhra Pradesh|S01|534544
2|DOLA JAGAN|Srikakulam|13456|2|Indian National Congress|1.19|289|Andhra Pradesh|S01|13745
2|DUVVADA SRINIVAS|Srikakulam|520931|3|Yuvajana Sramika Rythu Congress Party|45.61|6960|Andhra Pradesh|S01|527891
2|PERLA SAMBA MURTHY|Srikakulam|7357|4|Bharatiya Janata Party|0.72|1033|Andhra Pradesh|S01|8390
2|MATTA SATISH CHAKRAVARTHY|Srikakulam|1441|5|Pyramid Party of India|0.13|7|Andhra Pradesh|S01|1448
2|METTA RAMARAO|Srikakulam|31319|6|Janasena Party|2.76|637|Andhra Pradesh|S01|31956
2|NAMBALLA KRISHNA MOHAN|Srikakulam|4829|7|Independent|0.42|7|Andhra Pradesh|S01|4836
2|NAIDUGARI RAJASEKHAR|Srikakulam|5151|8|Independent|0.45|5|Andhra Pradesh|S01|5156
2|BETHA VIVEKANANDA MAHARAJ|Srikakulam|3814|9|Independent|0.33|4|Andhra Pradesh|S01|3818
2|NOTA|Srikakulam|25500|10|None of the Above|2.21|45|Andhra Pradesh|S01|25545
20|KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR)|Hindupur|26973|1|Indian National Congress|2.03|183|Andhra Pradesh|S01|27156
20|KURUVA GORANTLA MADHAV|Hindupur|699739|2|Yuvajana Sramika Rythu Congress Party|52.79|6863|Andhra Pradesh|S01|706602
20|KRISTAPPA . NIMMALA|Hindupur|561602|3|Telugu Desam|42.27|4252|Andhra Pradesh|S01|565854
20|MITTA PARTHASARATHI|Hindupur|13530|4|Bharatiya Janata Party|1.03|275|Andhra Pradesh|S01|13805
20|Ram Mohan Singamneni|Hindupur|1305|5|Pyramid Party of India|0.1|8|Andhra Pradesh|S01|1313
20|S.R.Anjaneyulu|Hindupur|1215|6|Independent|0.09|12|Andhra Pradesh|S01|1227
20|GOGULA PULAKUNTA JAYANTH|Hindupur|1578|7|Independent|0.12|4|Andhra Pradesh|S01|1582
20|Mugi Surya Prakash|Hindupur|1315|8|Independent|0.1|1|Andhra Pradesh|S01|1316
20|Ramamohan D.G.|Hindupur|2230|9|Independent|0.17|1|Andhra Pradesh|S01|2231
20|NOTA|Hindupur|17356|10|None of the Above|1.3|72|Andhra Pradesh|S01|17428
21|Y.S.Avinash Reddy|Kadapa|778267|1|Yuvajana Sramika Rythu Congress Party|63.8|5532|Andhra Pradesh|S01|783799
21|Chadipirala Adi Narayana Reddy|Kadapa|400192|2|Telugu Desam|32.79|2631|Andhra Pradesh|S01|402823
21|Gundlakunta Sreeramulu|Kadapa|8280|3|Indian National Congress|0.68|61|Andhra Pradesh|S01|8341
21|Gujjula Eswaraiah|Kadapa|6152|4|Communist Party of India|0.51|90|Andhra Pradesh|S01|6242
21|Sri Rama Chandra Singareddy|Kadapa|3917|5|Bharatiya Janata Party|0.33|168|Andhra Pradesh|S01|4085
21|Ameen Peeran Shaik|Kadapa|571|6|Ambedkar National Congress|0.05|2|Andhra Pradesh|S01|573
21|Lakshmi Reddy Putha|Kadapa|365|7|Rajyadhikara Party|0.03|3|Andhra Pradesh|S01|368
21|Pedakala Varalakshmi|Kadapa|705|8|Pyramid Party of India|0.06|11|Andhra Pradesh|S01|716
21|Chadipirala Siva Narayana Reddy|Kadapa|445|9|Navarang Congress Party|0.04|1|Andhra Pradesh|S01|446
21|Siva Chandra Reddy Komma|Kadapa|1398|10|Anna YSR Congress Party|0.12|24|Andhra Pradesh|S01|1422
21|Gona Purushottam Reddy|Kadapa|1131|11|Independent|0.09|3|Andhra Pradesh|S01|1134
21|Jakku Chenna Krishna Reddy|Kadapa|578|12|Independent|0.05|1|Andhra Pradesh|S01|579
21|Nyamatulla Shaik|Kadapa|755|13|Independent|0.06|4|Andhra Pradesh|S01|759
21|Peddireddy Showry Subhash Reddy|Kadapa|865|14|Independent|0.07|0|Andhra Pradesh|S01|865
21|Venu Gopal Rachineni|Kadapa|1748|15|Independent|0.14|0|Andhra Pradesh|S01|1748
21|NOTA|Kadapa|14629|16|None of the Above|1.2|63|Andhra Pradesh|S01|14692
22|Adala Prabhakara Reddy|Nellore|677014|1|Yuvajana Sramika Rythu Congress Party|53.13|6816|Andhra Pradesh|S01|683830
22|Chandra Rajagopal|Nellore|18571|2|Communist Party of India  (Marxist)|1.46|259|Andhra Pradesh|S01|18830
22|Chevuru Devakumar Reddy|Nellore|9973|3|Indian National Congress|0.78|48|Andhra Pradesh|S01|10021
22|Beeda Masthan Rao|Nellore|529571|4|Telugu Desam|41.59|5688|Andhra Pradesh|S01|535259
22|Sannapureddy Suresh Reddy|Nellore|12278|5|Bharatiya Janata Party|0.97|235|Andhra Pradesh|S01|12513
22|Chinni Venkateswarlu|Nellore|836|6|Pyramid Party of India|0.07|5|Andhra Pradesh|S01|841
22|Shaik Mahaboob Basha (Mabu)|Nellore|1317|7|Republican Party of India (A)|0.1|2|Andhra Pradesh|S01|1319
22|Kankanala Penchala Naidu|Nellore|667|8|Independent|0.05|1|Andhra Pradesh|S01|668
22|Narasapuram Prasad|Nellore|2397|9|Independent|0.19|2|Andhra Pradesh|S01|2399
22|Butti Nagaraju|Nellore|1089|10|Independent|0.09|12|Andhra Pradesh|S01|1101
22|Meda Malla Reddy|Nellore|597|11|Independent|0.05|1|Andhra Pradesh|S01|598
22|Sukapalli Naveen|Nellore|1014|12|Independent|0.08|0|Andhra Pradesh|S01|1014
22|Dr. S. Suresh Babu|Nellore|1482|13|Independent|0.12|0|Andhra Pradesh|S01|1482
22|NOTA|Nellore|17128|14|None of the Above|1.33|33|Andhra Pradesh|S01|17161
23|Chintamohan|Tirupati |23926|1|Indian National Congress|1.83|113|Andhra Pradesh|S01|24039
23|Doctor Daggumati Sreehari Rao|Tirupati |20847|2|Bahujan Samaj Party|1.6|124|Andhra Pradesh|S01|20971
23|Panabaka Lakshmi|Tirupati |490605|3|Telugu Desam|37.65|3896|Andhra Pradesh|S01|494501
23|Balli Durga Prasad Rao|Tirupati |717924|4|Yuvajana Sramika Rythu Congress Party|55.03|4953|Andhra Pradesh|S01|722877
23|Bommi Srihari Rao|Tirupati |16001|5|Bharatiya Janata Party|1.23|124|Andhra Pradesh|S01|16125
23|Karra Siva (Pyramid Siva)|Tirupati |998|6|Pyramid Party of India|0.08|5|Andhra Pradesh|S01|1003
23|Neeruguttu Nagesh, M.A., Philosophy|Tirupati |912|7|Janapaalana Party (Democratic)|0.07|1|Andhra Pradesh|S01|913
23|Bokkam. Ramesh|Tirupati |1194|8|Viduthalai Chiruthaigal Katchi|0.09|1|Andhra Pradesh|S01|1195
23|Viruvuru Sudhakar|Tirupati |995|9|Vishwa Jana Party|0.08|3|Andhra Pradesh|S01|998
23|M. Solomon|Tirupati |1563|10|Andhra Rastra Praja Samithi|0.12|0|Andhra Pradesh|S01|1563
23|Kattamanchi Prabhakar|Tirupati |1430|11|Independent|0.11|0|Andhra Pradesh|S01|1430
23|K.S. Munirathnam|Tirupati |2117|12|Independent|0.16|2|Andhra Pradesh|S01|2119
23|NOTA|Tirupati |25750|13|None of the Above|1.96|31|Andhra Pradesh|S01|25781
24|P.V.MIDHUN REDDY|Rajampet|695277|1|Yuvajana Sramika Rythu Congress Party|57.35|6934|Andhra Pradesh|S01|702211
24|M.SHAJAHAN BASHA (JAHA)|Rajampet|20959|2|Indian National Congress|1.73|191|Andhra Pradesh|S01|21150
24|D A SATHYA PRABHA|Rajampet|429710|3|Telugu Desam|35.44|4217|Andhra Pradesh|S01|433927
24|ASADI. VENKATADRI|Rajampet|3449|4|Rashtriya Krantikari Samajwadi Party|0.28|11|Andhra Pradesh|S01|3460
24|KARIMULLA KHAN PATTAN|Rajampet|1132|5|Navataram Party|0.09|3|Andhra Pradesh|S01|1135
24|KHADER VALI SHAIK|Rajampet|1555|6|Indian Union Muslim League|0.13|2|Andhra Pradesh|S01|1557
24|SYED MUKARRAM|Rajampet|33833|7|Janasena Party|2.78|153|Andhra Pradesh|S01|33986
24|NARESH KUMAR POOJALA|Rajampet|1761|8|Independent|0.14|7|Andhra Pradesh|S01|1768
24|PASUPULETI VENKATARAMANA ROYAL|Rajampet|3809|9|Independent|0.31|12|Andhra Pradesh|S01|3821
24|NOTA|Rajampet|21289|10|None of the Above|1.74|50|Andhra Pradesh|S01|21339
